time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-01T18:34:42.702Z,63.5872,-148.6621,0,1.7,ml,,,,0.69,ak,ak20309500,2018-11-01T18:39:07.934Z,"26km NNE of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-01T18:31:01.904Z,37.5105,-114.082,4.8,0.9,ml,9,93.59,0.185,0.2329,nn,nn00663764,2018-11-01T21:30:27.836Z,"32km WSW of Enterprise, Utah",earthquake,,3.5,0.39,6,reviewed,nn,nn
2018-11-01T18:12:46.660Z,23.5911,-45.2532,10,4.8,mb,,95,17.447,1,us,us2000i5it,2018-11-01T19:04:54.040Z,"Northern Mid-Atlantic Ridge",earthquake,12,1.9,0.058,93,reviewed,us,us
2018-11-01T18:12:30.430Z,33.7125,-116.7591667,15.9,0.86,ml,26,72,0.03753,0.1,ci,ci38344512,2018-11-01T18:39:49.516Z,"5km SW of Idyllwild, CA",earthquake,0.21,0.31,0.129,10,reviewed,ci,ci
2018-11-01T18:11:20.600Z,34.2533333,-118.42,8.87,1.57,ml,28,61,0.05677,0.18,ci,ci38344504,2018-11-01T19:21:20.987Z,"4km SSE of San Fernando, CA",earthquake,0.26,0.52,0.118,21,reviewed,ci,ci
2018-11-01T18:09:13.760Z,46.8983333,-112.5665,12.54,1.48,ml,12,113,0.084,0.14,mb,mb80318254,2018-11-01T19:38:28.890Z,"10km SE of Lincoln, Montana",earthquake,0.54,0.7,0.087,3,reviewed,mb,mb
2018-11-01T18:08:19.905Z,60.185,-152.5856,116,2.1,ml,,,,0.59,ak,ak20309334,2018-11-01T18:13:12.770Z,"34km SSE of Redoubt Volcano, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-01T17:55:49.559Z,63.1738,-149.1035,69.6,3.1,ml,,,,0.52,ak,ak20309318,2018-11-01T18:10:01.964Z,"25km SSW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-01T17:38:56.730Z,33.4888333,-116.7918333,4.61,0.76,ml,30,32,0.02453,0.14,ci,ci38344472,2018-11-01T18:32:30.677Z,"8km NE of Aguanga, CA",earthquake,0.16,0.27,0.104,19,reviewed,ci,ci
2018-11-01T17:25:11.805Z,62.9793,-150.9098,100.5,1.2,ml,,,,0.33,ak,ak20309312,2018-11-01T17:32:12.941Z,"83km NNW of Talkeetna, Alaska",earthquake,,2.1,,,automatic,ak,ak
2018-11-01T17:08:26.007Z,69.6073,-144.5622,7.6,3.1,ml,,,,0.85,ak,ak20309148,2018-11-01T21:57:00.040Z,"67km SSW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2018-11-01T16:58:54.850Z,34.0315,-116.5905,11.82,0.97,ml,29,114,0.04822,0.14,ci,ci37410738,2018-11-01T17:16:53.977Z,"2km SSW of Morongo Valley, CA",earthquake,0.23,0.52,0.107,18,reviewed,ci,ci
2018-11-01T16:58:47.470Z,33.492,-116.7906667,6.96,0.15,ml,8,117,0.08571,0.09,ci,ci37412197,2018-11-01T17:21:52.011Z,"9km NE of Aguanga, CA",earthquake,0.33,0.87,0.041,3,reviewed,ci,ci
2018-11-01T16:56:50.980Z,33.4828333,-116.788,4.94,1.59,ml,52,39,0.03121,0.2,ci,ci37410730,2018-11-01T17:12:02.510Z,"8km ENE of Aguanga, CA",earthquake,0.18,0.78,0.097,26,reviewed,ci,ci
2018-11-01T16:55:36.810Z,35.927,-89.9261667,13.11,2.63,md,48,39,0.04928,0.11,nm,nm60217432,2018-11-02T00:49:33.562Z,"0km W of Blytheville, Arkansas",earthquake,0.22,0.29,0.133,27,reviewed,nm,nm
2018-11-01T16:47:19.510Z,31.6531,49.9743,10,4.3,mb,,68,4.959,0.88,us,us2000i5em,2018-11-01T22:05:55.040Z,"54km NE of Ramhormoz, Iran",earthquake,9.3,1.9,0.087,37,reviewed,us,us
2018-11-01T16:36:52.980Z,19.4559994,-155.4513397,6.85,2.1,ml,49,45,0.06971,0.2,hv,hv70678912,2018-11-01T16:42:36.420Z,"22km W of Volcano, Hawaii",earthquake,0.38,0.67,0.2,8,automatic,hv,hv
2018-11-01T16:33:53.400Z,-3.8366,128.9222,96.02,4.4,mb,,94,3.443,0.75,us,us2000i5ej,2018-11-01T19:12:52.040Z,"42km SE of Saparua, Indonesia",earthquake,6.6,5.9,0.108,25,reviewed,us,us
2018-11-01T16:32:17.790Z,35.1463333,-118.643,9.89,1.13,ml,10,76,0.09249,0.05,ci,ci37410690,2018-11-01T17:59:26.276Z,"18km W of Tehachapi, CA",earthquake,0.16,0.4,0.338,6,reviewed,ci,ci
2018-11-01T16:26:45.340Z,38.5539,-118.4686,8.9,0.3,ml,5,145.66,0.085,0.0779,nn,nn00663763,2018-11-01T21:21:08.774Z,"13km ENE of Hawthorne, Nevada",earthquake,,6.1,0,1,reviewed,nn,nn
2018-11-01T16:11:32.845Z,38.3309,-118.9176,6.1,0.4,ml,4,302.34,0.334,0.1322,nn,nn00663760,2018-11-01T21:11:54.889Z,"28km ENE of Bridgeport, California",earthquake,,20.1,0,1,reviewed,nn,nn
2018-11-01T16:11:08.720Z,34.0203333,-117.031,16.87,0.48,ml,13,152,0.1677,0.14,ci,ci37410666,2018-11-01T17:57:28.708Z,"2km SE of Yucaipa, CA",earthquake,0.34,0.83,0.047,5,reviewed,ci,ci
2018-11-01T16:05:38.071Z,38.6701,-119.4987,9,-0.1,ml,3,185.32,0.173,0.001,nn,nn00663759,2018-11-01T21:05:45.060Z,"18km SW of Smith Valley, Nevada",earthquake,,28.9,0,1,reviewed,nn,nn
2018-11-01T15:49:56.730Z,41.0836667,-111.6623333,7.27,1.52,md,10,115,0.1439,0.21,uu,uu60303177,2018-11-01T19:26:29.170Z,"5km NNE of Morgan, Utah",earthquake,0.81,4.48,0.422,5,reviewed,uu,uu
2018-11-01T15:38:55.020Z,19.2043343,-155.5050049,35.88,1.95,md,40,142,0.1068,0.14,hv,hv70678862,2018-11-01T15:42:14.740Z,"2km W of Pahala, Hawaii",earthquake,0.84,1.22,0.1,3,automatic,hv,hv
2018-11-01T15:32:38.000Z,39.232,-120.093,7.7,0.1,ml,7,77.76,0.035,0.0728,nn,nn00663758,2018-11-01T21:02:39.460Z,"3km WSW of Tahoe Vista, California",earthquake,,1.5,0.16,3,reviewed,nn,nn
2018-11-01T15:22:21.000Z,-30.6114,-71.8792,15.24,4.1,mb,,129,0.219,1.14,us,us2000i5dd,2018-11-01T18:56:32.040Z,"65km W of Ovalle, Chile",earthquake,4.8,6.6,0.26,4,reviewed,us,us
2018-11-01T15:14:28.190Z,36.3553352,-120.5920029,5.06,1.62,md,12,146,0.1281,0.19,nc,nc73104826,2018-11-01T16:22:02.868Z,"10km SE of New Idria, CA",earthquake,0.63,1.82,0.27,5,automatic,nc,nc
2018-11-01T14:54:51.790Z,33.6278333,-116.685,12.34,0.59,ml,21,65,0.04201,0.07,ci,ci37410586,2018-11-01T16:56:51.357Z,"8km N of Anza, CA",earthquake,0.16,0.35,0.166,7,reviewed,ci,ci
2018-11-01T14:31:05.350Z,38.5398331,-122.6654968,4.73,1.87,md,5,192,0.1232,0,nc,nc73104821,2018-11-01T15:56:02.677Z,"8km ENE of Larkfield-Wikiup, CA",earthquake,0.9,1.8,0.2,5,automatic,nc,nc
2018-11-01T14:29:55.230Z,37.4876667,-118.8358333,0.78,1.28,md,25,125,0.1023,0.05,nc,nc73104816,2018-11-01T20:16:03.322Z,"16km WSW of Toms Place, CA",earthquake,0.33,31.61,0.244,22,reviewed,nc,nc
2018-11-01T14:28:53.282Z,63.0452,-149.995,82.2,1.1,ml,,,,0.77,ak,ak20308972,2018-11-01T14:33:59.890Z,"65km SW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-01T14:27:11.370Z,35.9626667,-117.9063333,2.11,0.67,ml,14,141,0.0468,0.08,ci,ci37410554,2018-11-01T17:49:18.703Z,"3km N of Little Lake, CA",earthquake,0.19,0.16,0.186,8,reviewed,ci,ci
2018-11-01T14:14:07.482Z,38.7329,-119.5905,9.5,0.6,ml,4,163.68,0.258,0.0421,nn,nn00663731,2018-11-01T15:36:12.058Z,"21km SE of Gardnerville Ranchos, Nevada",earthquake,,33.1,0.07,3,reviewed,nn,nn
2018-11-01T14:13:26.700Z,33.4866667,-116.7831667,3.88,0.28,ml,21,56,0.02938,0.14,ci,ci37410546,2018-11-01T17:47:02.645Z,"9km ENE of Aguanga, CA",earthquake,0.21,0.4,0.127,6,reviewed,ci,ci
2018-11-01T14:03:03.147Z,61.8344,-149.0594,0,1.4,ml,,,,0.77,ak,ak20308812,2018-11-01T14:06:54.795Z,"11km WNW of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-01T14:01:54.118Z,63.4466,-148.7844,2,1.4,ml,,,,0.82,ak,ak20308810,2018-11-01T14:05:13.587Z,"10km NE of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-01T14:01:39.020Z,36.6293,71.0196,216.74,4,mb,,110,1.034,0.59,us,us2000i59t,2018-11-01T14:21:34.040Z,"30km SSE of Jarm, Afghanistan",earthquake,8.6,8.2,0.156,11,reviewed,us,us
2018-11-01T13:55:29.530Z,19.4015007,-155.2830048,0.24,1.95,ml,15,51,0.01074,0.19,hv,hv70678777,2018-11-01T14:01:12.290Z,"5km SW of Volcano, Hawaii",earthquake,0.18,0.35,0.22,12,automatic,hv,hv
2018-11-01T13:50:48.820Z,44.2726667,-114.9481667,0.24,1.68,ml,7,110,0.808,0.19,mb,mb80318209,2018-11-01T15:01:11.470Z,"62km WSW of Challis, Idaho",earthquake,0.64,4.88,0.18,6,reviewed,mb,mb
2018-11-01T13:46:03.930Z,44.2663333,-114.9476667,3.18,1.57,ml,7,110,0.802,0.22,mb,mb80318204,2018-11-01T15:51:34.290Z,"62km WSW of Challis, Idaho",earthquake,0.74,6.14,0.225,6,reviewed,mb,mb
2018-11-01T13:43:29.360Z,37.6238333,-119.1176667,2.56,0.44,md,10,276,0.03156,0.02,nc,nc73104796,2018-11-01T16:55:25.310Z,"12km W of Mammoth Lakes, CA",earthquake,0.51,0.31,0.133,8,reviewed,nc,nc
2018-11-01T13:31:48.170Z,33.4916667,-116.7873333,4.3,0.76,ml,30,35,0.08459,0.16,ci,ci37410514,2018-11-01T15:58:26.860Z,"9km NE of Aguanga, CA",earthquake,0.19,0.47,0.117,20,reviewed,ci,ci
2018-11-01T13:28:37.300Z,37.6166667,-119.1356667,2.32,2.46,md,40,61,0.04735,0.06,nc,nc73104791,2018-11-01T20:31:02.424Z,"14km W of Mammoth Lakes, CA",earthquake,0.29,0.41,0.254,37,reviewed,nc,nc
2018-11-01T13:27:07.910Z,33.5143333,-116.7983333,4.11,0.57,ml,23,41,0.002583,0.12,ci,ci37410506,2018-11-01T15:57:52.271Z,"10km NE of Aguanga, CA",earthquake,0.18,0.38,0.112,17,reviewed,ci,ci
2018-11-01T13:21:05.460Z,33.4921667,-116.7913333,4.96,0.26,ml,20,96,0.02151,0.12,ci,ci37410490,2018-11-01T16:41:18.384Z,"9km NE of Aguanga, CA",earthquake,0.21,0.5,0.118,5,reviewed,ci,ci
2018-11-01T13:19:27.070Z,17.7885,-66.887,17,1.81,md,3,271,0.2397,0.2,pr,pr2018305006,2018-11-01T16:07:26.121Z,"20km S of Guanica, Puerto Rico",earthquake,3.38,8.6,0.09,3,reviewed,pr,pr
